productType,stream,crCode,lloydsTitle,internalKey,requiredness,applicability,sourceEntity,sourceField,sourcePath,sourceKind,authoritativeSource,derivationRule,fallbackRule,sourceReliability,validationRules,exampleValue,notes
MOTOR,claims,CR0002,CR0002 Reporting Period End,cr0002,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0005,CR0005 UMR,umr,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0006,CR0006 Agreement Number,agreement,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0007,CR0007 Section Number,section,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
MOTOR,claims,CR0013,CR0013 Coverholder Name,cr0013,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0014,CR0014 Coverholder PIN,cr0014,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0029,CR0029 Certificate Reference,certificate,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0030,CR0030 Risk Inception Date,riskInception,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0031,CR0031 Risk Expiry Date,riskExpiry,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0104,CR0104 Claim Reference,claimRef,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0105,CR0105 Claim Status,claimStatus,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0106,CR0106 Referred to Underwriters,referred,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0107,CR0107 Denial,denial,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0109,CR0109 Original Currency,currency,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0116,CR0116 Loss Country,lossCountry,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0117,CR0117 Cause of Loss Code,causeCode,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
MOTOR,claims,CR0118,CR0118 Loss Description,lossDesc,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
MOTOR,claims,CR0119,CR0119 Date of Loss From,lossFrom,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0120,CR0120 Date of Loss To,lossTo,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
MOTOR,claims,CR0126,CR0126 Paid This Month Indemnity,paidIndP,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0127,CR0127 Paid This Month Fees,paidFeesP,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0128,CR0128 Previously Paid Indemnity,paidIndPrev,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0129,CR0129 Previously Paid Fees,paidFeesPrev,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0130,CR0130 Reserve Indemnity,reserveInd,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0131,CR0131 Reserve Fees,reserveFees,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0134,CR0134 Total Incurred Indemnity,incurredInd,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0135,CR0135 Total Incurred Fees,incurredFees,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
MOTOR,claims,CR0137,CR0137 Date Closed,dateClosed,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
MOTOR,claims,CR0155,CR0155 Total Incurred,incurredTotal,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
MOTOR,claims,CR0306,CR0306 Date Re-opened,reopenedAt,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
MOTOR,claims,CR0311,CR0311 Date Claim Denied,deniedAt,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
MOTOR,claims,CR0312,CR0312 Reason for Denial,deniedReason,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
MOTOR,claims,CR0316,CR0316 Date Claim Withdrawn,withdrawnAt,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
MOTOR,claims,CR0375,CR0375 Recoveries Received To Date,recoveriesReceived,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
MOTOR,claims,CR0376,CR0376 Recoveries Outstanding,recoveriesOutstanding,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
MOTOR,premium,CR0001,CR0001 Reporting Period Start Date,cr0001,mandatory,always,reportingPeriod,startDate,,constant,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0002,CR0002 Reporting Period End Date,cr0002,mandatory,always,reportingPeriod,endDate,,constant,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0005,CR0005 UMR,cr0005,mandatory,always,binder,umr,,typed_column,false,,policy.umr -> policy.policyNumber,high,requiredness:mandatory;severity:error;applicability:always,policy.umr -> policy.policyNumber,
MOTOR,premium,CR0006,CR0006 Agreement Number,cr0006,mandatory,always,binder,agreementNumber,,typed_column,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0010,CR0010 Year of Account,cr0010,mandatory,always,binder,config.reporting.yearOfAccount,$.reporting.yearOfAccount,computed,false,,policy.inceptionDate.year,high,requiredness:mandatory;severity:error;applicability:always,policy.inceptionDate.year,
MOTOR,premium,CR0013,CR0013 Coverholder Name,cr0013,mandatory,always,binder,coverholderName,,typed_column,true,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0014,CR0014 Coverholder PIN,cr0014,mandatory,always,binder,coverholderPin,,typed_column,true,,,medium,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0016,CR0016 Risk Code,cr0016,mandatory,always,binder,config.reporting.riskCode,$.reporting.riskCode,json_snapshot,false,,AUTO_MOTOR,medium,requiredness:mandatory;severity:error;applicability:always,AUTO_MOTOR,
